,Letter,Count,Frequency
0,Я,108,0.003814636903079966
1, ,4272,0.15089008194405198
2,Р,8,0.00028256569652444194
3,о,1992,0.07035885843458604
4,м,709,0.025042384854478666
5,а,1806,0.06378920599039277
6,н,1415,0.049978807572760665
7,т,1179,0.04164311952528963
8,и,1305,0.04609352924554959
9,к,678,0.023947442780446453
10,"
",362,0.012786097767730998
11,М,41,0.001448149194687765
12,л,799,0.028221248940378637
13,Х,11,0.0003885278327211077
14,в,1062,0.037510596213619664
15,ь,417,0.014728736931336535
16,й,372,0.01313930488838655
17,Ц,13,0.00045916925685221815
18,і,1246,0.04400960723368183
19,я,514,0.018154846001695393
20,б,330,0.01165583498163323
21,у,746,0.02634925120090421
22,З,28,0.0009889799378355467
23,д,753,0.026596496185363097
24,е,1102,0.038923424696241875
25,г,386,0.013633794857304322
26,з,540,0.01907318451539983
27,х,271,0.009571912969765471
28,р,1031,0.03641565413958745
29,ї,128,0.004521051144391071
30,ш,179,0.006322407459734388
31,с,757,0.026737779033625318
32,ж,208,0.00734670810963549
33,п,547,0.019320429499858717
34,ю,264,0.009324667985306585
35,—,178,0.006287086747668833
36,Т,97,0.0034261090703588586
37,є,91,0.003214184797965527
38,ч,288,0.010172365074879909
39,щ,62,0.002189884148064425
40,І,51,0.0018013563153433173
41,ф,31,0.0010949420740322124
42,ц,160,0.005651313930488839
43,П,33,0.001165583498163323
44,В,59,0.002083922011867759
45,А,75,0.002649053404916643
46,Н,37,0.001306866346425544
47,Ш,5,0.0001766035603277762
48,Д,31,0.0010949420740322124
49,О,10,0.0003532071206555524
50,Ч,7,0.0002472449844588867
51,У,6,0.00021192427239333144
52,К,13,0.00045916925685221815
53,С,14,0.0004944899689177734
54,Г,4,0.00014128284826222097
55,Ф,1,3.532071206555524e-05
56,I,5,0.0001766035603277762
57,№,1,3.532071206555524e-05
58,2,2,7.064142413111048e-05
59,8,1,3.532071206555524e-05
60,Ж,4,0.00014128284826222097
61,Л,2,7.064142413111048e-05
62,Б,5,0.0001766035603277762
63,Є,2,7.064142413111048e-05
64,Щ,3,0.00010596213619666572
65,Й,1,3.532071206555524e-05
66,r,3,0.00010596213619666572
67,h,1,3.532071206555524e-05
68,u,2,7.064142413111048e-05
69,m,2,7.064142413111048e-05
70,a,1,3.532071206555524e-05
71,n,1,3.532071206555524e-05
72,e,1,3.532071206555524e-05
73,s,1,3.532071206555524e-05
74,t,1,3.532071206555524e-05
