,Trigram,Count,Frequency
0,ЯРо,1,4.425366199052971e-05
1,Ром,1,4.425366199052971e-05
2,ома,7,0.000309775633933708
3,ман,9,0.00039828295791476744
4,ант,8,0.0003540292959242377
5,нти,9,0.00039828295791476744
6,тик,13,0.0005752976058768863
7,ика,10,0.00044253661990529717
8,"ка
",7,0.000309775633933708
9,"а
М",5,0.00022126830995264859
10,"
Ми",3,0.00013276098597158915
11,Мик,1,4.425366199052971e-05
12,ико,9,0.00039828295791476744
13,кол,22,0.0009735805637916538
14,ола,1,4.425366199052971e-05
15,лаХ,1,4.425366199052971e-05
16,аХв,1,4.425366199052971e-05
17,Хви,1,4.425366199052971e-05
18,вил,10,0.00044253661990529717
19,иль,2,8.850732398105943e-05
20,льо,10,0.00044253661990529717
21,ьов,5,0.00022126830995264859
22,ови,29,0.0012833561977253617
23,вий,26,0.0011505952117537726
24,"ий
",2,8.850732398105943e-05
25,"й
Ц",1,4.425366199052971e-05
26,"
Цв",1,4.425366199052971e-05
27,Цві,1,4.425366199052971e-05
28,віт,12,0.0005310439438863566
29,іто,3,0.00013276098597158915
30,тов,35,0.0015488781696685401
31,ові,23,0.0010178342257821835
32,вія,2,8.850732398105943e-05
33,іяб,4,0.00017701464796211885
34,ябл,1,4.425366199052971e-05
35,блу,1,4.425366199052971e-05
36,лун,5,0.00022126830995264859
37,уні,6,0.0002655219719431783
38,"ні
",3,0.00013276098597158915
39,"і
З",1,4.425366199052971e-05
40,"
Зд",3,0.00013276098597158915
41,Зда,2,8.850732398105943e-05
42,дал,34,0.0015046245076780103
43,але,22,0.0009735805637916538
44,лек,8,0.0003540292959242377
45,еко,5,0.00022126830995264859
46,ког,5,0.00022126830995264859
47,ого,80,0.0035402929592423774
48,гот,14,0.000619551267867416
49,оту,5,0.00022126830995264859
50,тум,4,0.00017701464796211885
51,ума,15,0.0006638049298579458
52,ану,4,0.00017701464796211885
53,нуз,1,4.425366199052971e-05
54,узт,1,4.425366199052971e-05
55,зти,1,4.425366199052971e-05
56,тих,11,0.0004867902818958269
57,ихи,3,0.00013276098597158915
58,хих,2,8.850732398105943e-05
59,ихо,15,0.0006638049298579458
60,хоз,3,0.00013276098597158915
61,озе,4,0.00017701464796211885
62,зер,12,0.0005310439438863566
63,ерз,2,8.850732398105943e-05
64,рза,1,4.425366199052971e-05
65,заг,11,0.0004867902818958269
66,агі,8,0.0003540292959242377
67,гір,6,0.0002655219719431783
68,ірн,10,0.00044253661990529717
69,рно,12,0.0005310439438863566
70,ної,10,0.00044253661990529717
71,оїк,5,0.00022126830995264859
72,їко,3,0.00013276098597158915
73,ком,29,0.0012833561977253617
74,ому,43,0.0019029074655927778
75,мун,25,0.001106341549763243
76,уни,14,0.000619551267867416
77,ниш,1,4.425366199052971e-05
78,ише,3,0.00013276098597158915
79,шел,3,0.00013276098597158915
80,еле,15,0.0006638049298579458
81,лес,3,0.00013276098597158915
82,ест,11,0.0004867902818958269
83,сти,29,0.0012833561977253617
84,тит,7,0.000309775633933708
85,ить,51,0.0022569367615170154
86,тьш,1,4.425366199052971e-05
87,ьше,5,0.00022126830995264859
88,стт,1,4.425366199052971e-05
89,тто,1,4.425366199052971e-05
90,той,7,0.000309775633933708
91,ойд,1,4.425366199052971e-05
92,йде,5,0.00022126830995264859
93,деМ,1,4.425366199052971e-05
94,еМа,1,4.425366199052971e-05
95,Мар,6,0.0002655219719431783
96,арі,9,0.00039828295791476744
97,рія,4,0.00017701464796211885
98,іяЯ,2,8.850732398105943e-05
99,яЯв,2,8.850732398105943e-05
100,Яви,2,8.850732398105943e-05
101,вих,13,0.0005752976058768863
102,ход,32,0.0014161171836969508
103,одж,5,0.00022126830995264859
104,джу,6,0.0002655219719431783
105,жун,1,4.425366199052971e-05
106,уна,33,0.0014603708456874807
107,наб,4,0.00017701464796211885
108,абе,2,8.850732398105943e-05
109,без,18,0.0007965659158295349
110,езг,6,0.0002655219719431783
111,згр,4,0.00017701464796211885
112,гра,8,0.0003540292959242377
113,ран,9,0.00039828295791476744
114,анн,9,0.00039828295791476744
115,нні,9,0.00039828295791476744
116,ніп,7,0.000309775633933708
117,іпо,24,0.0010620878877727132
