,Bigram,Count,Frequency
0,Хі,79,0.00015832170971413913
1,іб,634,0.0012705818222628381
2,ба,1538,0.0030822631587385566
3,ар,2212,0.004433007871995896
4,ре,1944,0.00389591650233274
5,ев,1326,0.0026573998364677024
6,ву,921,0.0018457505651483816
7,ут,1402,0.002809709329357254
8,ть,2906,0.005823834030750485
9,ьв,210,0.00042085517772112935
10,во,3263,0.0065392878328764045
11,ол,2975,0.005962115017715999
12,ли,4688,0.009395090824555497
13,ия,265,0.0005310791528385679
14,як,2052,0.004112356308017893
15,кя,54,0.00010821990284257612
16,яс,332,0.0006653519952543568
17,сл,767,0.0015371234348195532
18,ла,3923,0.007861975534285668
19,ап,1570,0.0031463934715341576
20,по,3935,0.007886024401584018
21,ов,5109,0.010238805252272618
22,вн,774,0.001551151940743591
23,ні,2413,0.004835826399243262
24,"і
",255,0.0005110384300899427
25,"
П",169,0.000338688214451766
26,Па,131,0.0002625334680069902
27,ан,2879,0.005769724079329197
28,на,5646,0.011314992063873791
29,ас,2827,0.005665512321036346
30,сМ,5,1.0020361374312604e-05
31,Ми,89,0.00017836243246276433
32,ир,828,0.001659371843586167
33,рн,696,0.0013948343033043144
34,ни,2337,0.00468351690635371
35,ий,2178,0.00436486941465057
36,"й
",108,0.00021643980568515224
37,"
Ч",154,0.0003086271303288282
38,ЧА,5,1.0020361374312604e-05
39,АС,7,1.4028505924037644e-05
40,СТ,9,1.8036650473762684e-05
41,ТИ,4,8.016289099450082e-06
42,ИН,4,8.016289099450082e-06
43,НА,12,2.4048867298350248e-05
44,АП,3,6.012216824587562e-06
45,ПЕ,2,4.008144549725041e-06
46,ЕР,3,6.012216824587562e-06
47,РШ,3,6.012216824587562e-06
48,ША,2,4.008144549725041e-06
49,"А
",11,2.2044795023487728e-05
50,"
І",43,8.617510781908838e-05
51,"І
",10,2.0040722748625208e-05
52,ПО,5,1.0020361374312604e-05
53,ОЛ,5,1.0020361374312604e-05
54,ЛЬ,2,4.008144549725041e-06
55,ЬО,1,2.0040722748625205e-06
56,ОВ,7,1.4028505924037644e-05
57,ВА,2,4.008144549725041e-06
58,АЦ,2,4.008144549725041e-06
59,ЦА,1,2.0040722748625205e-06
