,Letter,Count,Frequency
0,Х,573,0.0008834058455874417
1,і,21293,0.03282785457258883
2,б,9518,0.014674095703841658
3,а,44539,0.06866668927856731
4, ,106822,0.16468966708087557
5,р,19673,0.030330267365168834
6,е,22284,0.034355699586510566
7,в,25248,0.038925359143790104
8,у,17497,0.026975483560634325
9,т,24259,0.03740059757086518
10,ь,8110,0.012503353242084037
11,о,47990,0.07398716671857125
12,л,19422,0.029943295520068577
13,и,32805,0.050576140950254846
14,я,11310,0.017436858836987725
15,к,19066,0.029394443022635542
16,с,19786,0.03050448178148887
17,п,13653,0.021049109964756268
18,н,23906,0.03685637023492737
19,"
",3893,0.006001917900300018
20,П,1137,0.0017529362066892168
21,М,967,0.0014908437219599583
22,й,7200,0.0111003875885333
23,Ч,1533,0.0023634575240585485
24,А,1030,0.0015879721133596249
25,С,702,0.0010822877898819968
26,Т,1303,0.002008861809424846
27,И,29,4.470989445381468e-05
28,Н,1059,0.0016326820078134394
29,Е,61,9.404495040285156e-05
30,Р,156,0.00024050839775155482
31,Ш,128,0.00019734022379614755
32,І,402,0.0006197716403597759
33,О,758,0.0011686241377928113
34,Л,368,0.0005673531434139242
35,Ь,8,1.2333763987259222e-05
36,В,711,0.0010961632743676634
37,Ц,76,0.00011717075787896261
38,д,16613,0.02561260264004218
39,К,425,0.0006552312118231462
40,г,8693,0.013402176292655553
41,—,6955,0.010722666066423485
42,з,10581,0.016312944593648727
43,ц,2900,0.004470989445381468
44,ш,4337,0.006686441801592905
45,м,12883,0.019861985180982568
46,Я,538,0.0008294456281431827
47,щ,2793,0.004306025352051876
48,ж,5147,0.007935235405302901
49,ю,4029,0.006211591888083425
50,ч,6790,0.010468282184186264
51,х,5987,0.00923028062396512
52,є,2113,0.003257655413134842
53,ї,2391,0.0036862537116921
54,З,461,0.0007107331497658127
55,Г,842,0.001298128659659033
56,Б,268,0.0004131810935731839
57,Й,54,8.325290691399974e-05
58,У,410,0.0006321054043470351
59,Щ,302,0.0004655995905190356
60,Д,566,0.00087261380209859
61,I,35,5.3960217444259096e-05
62,Ж,75,0.00011562903738055521
63,Є,21,3.2376130466555456e-05
64,ґ,15,2.312580747611104e-05
65,V,14,2.158408697770364e-05
66,Ю,3,4.625161495222208e-06
67,ф,79,0.00012179591937418481
68,Ї,9,1.3875484485666624e-05
69,X,34,5.2418496945851696e-05
70,6,4,6.166881993629611e-06
71,H,4,6.166881993629611e-06
72,e,2,3.0834409968148055e-06
73,x,3,4.625161495222208e-06
74,ё,18,2.775096897133325e-05
75,ы,96,0.00014800516784711066
76,1,6,9.250322990444416e-06
77,э,5,7.708602492037014e-06
78,3,2,3.0834409968148055e-06
79,5,1,1.5417204984074028e-06
80,0,1,1.5417204984074028e-06
81,7,1,1.5417204984074028e-06
82,Э,3,4.625161495222208e-06
83,Ф,8,1.2333763987259222e-05
84,8,2,3.0834409968148055e-06
85,4,1,1.5417204984074028e-06
86,i,3,4.625161495222208e-06
87,j,1,1.5417204984074028e-06
88,o,2,3.0834409968148055e-06
89,•,1,1.5417204984074028e-06
90,a,1,1.5417204984074028e-06
91,m,1,1.5417204984074028e-06
92,p,1,1.5417204984074028e-06
93,O,1,1.5417204984074028e-06
94,J,1,1.5417204984074028e-06
