,Trigram,Count,Frequency
0,Хіб,75,0.00015030572183821894
1,іба,218,0.00043688863147642304
2,бар,104,0.00020842393428233027
3,аре,133,0.0002665421467264416
4,рев,128,0.0002565217652705603
5,еву,16,3.206522065882004e-05
6,вут,50,0.00010020381455881263
7,уть,386,0.0007735734483940334
8,тьв,90,0.00018036686620586273
9,ьво,64,0.00012826088263528015
10,вол,283,0.0005671535904028795
11,оли,619,0.0012405232242381002
12,лия,56,0.00011222827230587014
13,ияк,193,0.0003867867241970167
14,якя,17,3.406929694999629e-05
15,кяс,4,8.01630516470501e-06
16,ясл,28,5.611413615293507e-05
17,сла,99,0.000198403552826449
18,лап,145,0.0002905910622205566
19,апо,470,0.0009419158568528387
20,пов,445,0.0008918139495734323
21,овн,147,0.0002945992148029091
22,вні,96,0.00019239132395292024
23,"ні
",38,7.61548990646976e-05
24,"і
П",13,2.6052991785291284e-05
25,"
Па",17,3.406929694999629e-05
26,Пан,41,8.216712793822635e-05
27,ана,585,0.0011723846303381077
28,нас,599,0.0012004416984145753
29,асМ,4,8.01630516470501e-06
30,сМи,2,4.008152582352505e-06
31,Мир,44,8.817935681175511e-05
32,ирн,31,6.212636502646383e-05
33,рни,107,0.00021443616315585903
34,ний,363,0.0007274796936969797
35,"ий
",56,0.00011222827230587014
36,"й
Ч",7,1.4028534038233767e-05
37,"
ЧА",4,8.01630516470501e-06
38,ЧАС,4,8.01630516470501e-06
39,АСТ,5,1.0020381455881263e-05
40,СТИ,4,8.01630516470501e-06
41,ТИН,4,8.01630516470501e-06
42,ИНА,4,8.01630516470501e-06
43,НАП,1,2.0040762911762524e-06
44,АПЕ,1,2.0040762911762524e-06
45,ПЕР,2,4.008152582352505e-06
46,ЕРШ,2,4.008152582352505e-06
47,РША,1,2.0040762911762524e-06
48,"ША
",1,2.0040762911762524e-06
49,"А
І",1,2.0040762911762524e-06
50,"
І
",1,2.0040762911762524e-06
51,"І
П",1,2.0040762911762524e-06
52,"
ПО",1,2.0040762911762524e-06
53,ПОЛ,2,4.008152582352505e-06
54,ОЛЬ,2,4.008152582352505e-06
55,ЛЬО,1,2.0040762911762524e-06
56,ЬОВ,1,2.0040762911762524e-06
57,ОВА,2,4.008152582352505e-06
58,ВАЦ,1,2.0040762911762524e-06
59,АЦА,1,2.0040762911762524e-06
60,ЦАР,1,2.0040762911762524e-06
61,АРІ,1,2.0040762911762524e-06
62,РІВ,1,2.0040762911762524e-06
63,ІВН,1,2.0040762911762524e-06
64,ВНА,1,2.0040762911762524e-06
